Station ID,Station Name,Latitude (deg),Longitude (deg),Operator,Record Period,Drainage Area (sq km),Measurements
09EA004,North Klondike River near the mouth,64.00194,-138.59611,WSC,1978–present,1090,Stage & Discharge
09EC002,Fortymile River near the mouth,64.39722,-140.61111,WSC,1975–present,16600,Stage & Discharge
09EC001,Clinton Creek above Wolverine Creek,64.44833,-140.70667,WSC,1975–1982,*,Stage & Discharge
09FB001,Porcupine River below Bell River,67.44028,-137.78361,WSC,1972–present,36000,Stage & Discharge
09FD003,Porcupine River below Old Crow River,67.56833,-139.83361,WSC,1972–present,*,Stage & Discharge
09FD001,Porcupine River at Old Crow,67.56389,-139.88333,WSC,1962–present,55400,Stage & Discharge
09FD002,Porcupine River near International Boundary,67.45833,-140.66200,WSC,1962–present,58900,Stage & Discharge
09FA001,Whitestone River near the mouth,66.43028,-138.40472,WSC,1975–present,6730,Stage & Discharge
09FB002,Eagle River at Dempster Highway Bridge,66.44333,-136.70917,WSC,1975–present,1720,Stage & Discharge
09FC001,Old Crow River near the mouth,67.63972,-139.70917,WSC,1977–present,13900,Stage & Discharge
USGS 15453500,Yukon River near Stevens Village AK,66.00611,-149.09306,USGS,1951–present,438000,Stage & Discharge
USGS 15468000,Yukon River at Rampart AK,65.50500,-150.16000,USGS,1954–1967,** (approx 482000),Stage & Discharge
USGS 15565447,Yukon River at Pilot Station AK,61.93333,-162.87778,USGS,1985–present,** (831400),Stage & Discharge
USGS 15389000,Porcupine River near Fort Yukon AK,66.81750,-145.27333,USGS,1967–1975,** (approx 554000),Stage & Discharge
USGS 15389500,Chandalar River near Venetie AK,67.05556,-146.41389,USGS,1967–1975,** (26800),Stage & Discharge
USGS 15470000,Chisana River at Northway Junction AK,62.96417,-141.88750,USGS,1953–1967,** (10800),Stage & Discharge
USGS 15476000,Tanana River near Tanacross AK,63.38500,-143.34639,USGS,1953–1975,** (24300),Stage & Discharge
USGS 15478000,Tanana River at Big Delta AK,64.15250,-145.84222,USGS,1949–present,** (?),Stage & Discharge
USGS 15485500,Tanana River at Fairbanks AK,64.79217,-147.84139,USGS,1989–present,66200,Stage & Discharge
USGS 15515500,Tanana River at Nenana AK,64.56528,-149.09399,USGS,1962–present,66200,Stage & Discharge
USGS 15518000,Nenana River near Healy AK,63.87389,-149.03222,USGS,1962–2017,** (13400),Stage & Discharge
USGS 15514000,Chena River at Fairbanks AK,64.79250,-147.73278,USGS,1967–present,5150,Stage & Discharge
USGS 15493000,Chena River near Two Rivers AK,64.86806,-146.35500,USGS,1973–present,2530,Stage & Discharge
USGS 15493400,Chena River below Hunts Ck near Two Rivers,64.87639,-146.35722,USGS,1973–present,2480,Stage & Discharge
USGS 15511000,Little Chena River near Fairbanks AK,64.90472,-146.86250,USGS,1967–present,1190,Stage & Discharge
USGS 15564890,Koyukuk River at Allakaket AK,66.56250,-152.64750,USGS,1965–1991,** (?),Stage & Discharge
USGS 15564900,Koyukuk River at Hughes AK,66.04560,-154.26200,USGS,2010–present,53400,Stage & Discharge
USGS 15331000,Middle Fork Fortymile R. near Chicken AK,64.07167,-141.91250,USGS,1975–1986,** (?),Stage & Discharge
USGS 15348000,Fortymile River near Steele Creek AK,64.30917,-141.67611,USGS,2012–present,** (?),Stage & Discharge
